"Date","value"
2016-07-24,17.8170428559173
2016-07-25,17.22
2016-07-26,18.1512484445139
2016-07-27,18.5146989022648
2016-07-28,20.512
2016-07-29,18.1116107615522
2016-07-30,17.3450721630887
2016-07-31,16.113
2016-08-01,16.1339630949816
2016-08-02,15.689392625338
2016-08-03,15.041
2016-08-04,14.9412173286329
2016-08-05,14.6376125015714
2016-08-06,14.187
2016-08-07,14.1320749705363
2016-08-08,13.9301422665627
2016-08-09,13.686
2016-08-10,13.5554694559227
2016-08-11,13.3827293492563
2016-08-12,13.135
2016-08-13,13.0891125201197
2016-08-14,12.9682357976493
2016-08-15,12.876
2016-08-16,12.7066739743811
2016-08-17,12.5659888735832
2016-08-18,12.386
2016-08-19,12.3118015931361
2016-08-20,12.1982994134869
2016-08-21,12.039
2016-08-22,12.0029689243545
2016-08-23,11.9211406148713
2016-08-24,11.628
2016-08-25,11.9036299083208
2016-08-26,11.9679475112535
2016-08-27,11.41
2016-08-28,12.526948107863
2016-08-29,13.0216311015399
2016-08-30,11.226
2016-08-31,15.5950034843087
2016-09-01,17.6736928734007
2016-09-02,22.797
2016-09-03,19.7253805684804
2016-09-04,19.6983788744681
2016-09-05,18.836
2016-09-06,20.2221315240058
2016-09-07,20.7728858675559
2016-09-08,21.821
2016-09-09,21.5304150594089
2016-09-10,21.7371899077117
2016-09-11,22.744
2016-09-12,21.5974264383733
2016-09-13,21.2508881207321
2016-09-14,19.835
2016-09-15,21.2973855598396
2016-09-16,21.6904213165883
2016-09-17,23.299
2016-09-18,21.6358099849872
2016-09-19,21.1881628966375
2016-09-20,20.072
2016-09-21,20.7552215989494
2016-09-22,20.769927389611
2016-09-23,20.759
2016-09-24,20.8170671600817
2016-09-25,20.8495011398907
2016-09-26,19.815
2016-09-27,21.6522731523313
2016-09-28,22.422611184963
2016-09-29,24.397
2016-09-30,23.1305524983782
2016-10-01,23.0681557791617
2016-10-02,23.432
2016-10-03,22.6485694228295
2016-10-04,22.2913797857138
2016-10-05,21.663
2016-10-06,21.7645585982314
2016-10-07,21.5949270478647
2016-10-08,21.01
2016-10-09,21.5428868766841
2016-10-10,21.6604782558701
2016-10-11,21.187
2016-10-12,22.3044512688276
2016-10-13,22.8308329025992
2016-10-14,23.41
2016-10-15,23.8470891634622
2016-10-16,24.3369637905536
2016-10-17,25.358
2016-10-18,24.9493558576998
2016-10-19,25.0718732977546
2016-10-20,25.325
2016-10-21,25.2265773769305
2016-10-22,25.2587640160517
2016-10-23,25.355
2016-10-24,25.278840063604
2016-10-25,25.2667294720352
2016-10-26,25.283
2016-10-27,25.2228795947615
2016-10-28,25.1911403090566
2016-10-29,25.135
2016-10-30,25.1445377535282
2016-10-31,25.1296744837046
2016-11-01,25.347
2016-11-02,24.9393636281662
2016-11-03,24.7639160424514
2016-11-04,24.415
2016-11-05,24.5329935618626
2016-11-06,24.4775186669885
2016-11-07,24.632
2016-11-08,24.2213608429265
2016-11-09,24.0206779137386
2016-11-10,23.565
2016-11-11,23.7956693886955
2016-11-12,23.7713437928404
2016-11-13,23.242
2016-11-14,24.0719687355679
2016-11-15,24.3969192741506
2016-11-16,24.996
2016-11-17,24.857228901517
2016-11-18,24.9925879903007
2016-11-19,25.328
2016-11-20,25.1249473694775
2016-11-21,25.1219476598705
2016-11-22,25.335
2016-11-23,24.9665242689663
2016-11-24,24.8141005876692
2016-11-25,24.691
2016-11-26,24.4889730513044
2016-11-27,24.3162691962368
2016-11-28,23.887
2016-11-29,24.1483048953275
2016-11-30,24.153044449486
2016-12-01,24.113
2016-12-02,24.1934966668332
2016-12-03,24.229209330022
2016-12-04,23.993
2016-12-05,24.4886988949246
2016-12-06,24.7124757966384
2016-12-07,25.354
2016-12-08,24.8711109758215
2016-12-09,24.8059692532909
2016-12-10,24.631
2016-12-11,24.7516437353454
2016-12-12,24.7624599399306
2016-12-13,24.616
2016-12-14,24.8928662588801
2016-12-15,25.0124563732446
2016-12-16,25.328
2016-12-17,25.1161129995645
2016-12-18,25.1001795115201
2016-12-19,25.207
2016-12-20,24.9834145363824
2016-12-21,24.8825830492892
2016-12-22,24.652
2016-12-23,24.7706576812952
2016-12-24,24.7595638003943
2016-12-25,24.729
2016-12-26,24.7508416488601
2016-12-27,24.7532133782266
2016-12-28,24.861
2016-12-29,24.6850507390174
2016-12-30,24.6145163704416
2016-12-31,24.656
2017-01-01,24.3959747548685
2017-01-02,24.2479675078711
2017-01-03,24.058
2017-01-04,23.9809731913778
2017-01-05,23.8619861218819
2017-01-06,23.659
2017-01-07,23.6821066505455
2017-01-08,23.621214248705
2017-01-09,23.308
2017-01-10,23.6739380069594
2017-01-11,23.7875541670543
